身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,總計,計    ,519984,191186,82564,92008,53516,12311,12564,6891,6100,4252,714,1275,27664,626,7712,0,0,20601
不分平地山地,總計,男    ,254704,94444,39219,44751,26012,5993,6110,3349,2993,2112,344,639,13393,311,3939,0,0,11095
不分平地山地,總計,女    ,265280,96742,43345,47257,27504,6318,6454,3542,3107,2140,370,636,14271,315,3773,0,0,9506
不分平地山地,新北市,計    ,50488,29619,6649,3784,3283,472,1095,179,436,79,46,244,1648,28,135,0,0,2791
不分平地山地,新北市,男    ,23518,14202,2892,1708,1453,196,501,71,181,30,23,127,679,20,53,0,0,1382
不分平地山地,新北市,女    ,26970,15417,3757,2076,1830,276,594,108,255,49,23,117,969,8,82,0,0,1409
不分平地山地,臺北市,計    ,14340,6414,2245,1274,834,200,378,133,128,35,14,35,642,20,119,0,0,1869
不分平地山地,臺北市,男    ,6056,2838,859,553,334,90,173,49,49,11,4,15,259,8,39,0,0,775
不分平地山地,臺北市,女    ,8284,3576,1386,721,500,110,205,84,79,24,10,20,383,12,80,0,0,1094
不分平地山地,臺中市,計    ,28817,8338,8212,5585,3546,393,546,250,163,55,120,27,469,9,352,0,0,752
不分平地山地,臺中市,男    ,13290,4067,3798,2566,1477,186,254,99,80,16,50,8,197,4,141,0,0,347
不分平地山地,臺中市,女    ,15527,4271,4414,3019,2069,207,292,151,83,39,70,19,272,5,211,0,0,405
不分平地山地,臺南市,計    ,6113,1862,510,1924,830,157,274,95,20,15,15,10,164,4,33,0,0,200
不分平地山地,臺南市,男    ,2536,765,184,798,379,64,125,33,11,7,6,2,65,3,12,0,0,82
不分平地山地,臺南市,女    ,3577,1097,326,1126,451,93,149,62,9,8,9,8,99,1,21,0,0,118
不分平地山地,高雄市,計    ,30401,8267,1155,7166,8731,2542,629,1115,45,33,12,26,402,6,55,0,0,217
不分平地山地,高雄市,男    ,14287,3879,481,3064,4378,1261,288,558,17,14,5,10,203,2,21,0,0,106
不分平地山地,高雄市,女    ,16114,4388,674,4102,4353,1281,341,557,28,19,7,16,199,4,34,0,0,111
不分平地山地,臺灣省,計    ,389148,136367,63709,72183,36220,8541,9637,5111,5300,4034,507,933,24299,559,7016,0,0,14732
不分平地山地,臺灣省,男    ,194672,68540,30966,36010,17957,4190,4766,2534,2652,2034,256,477,11968,274,3672,0,0,8376
不分平地山地,臺灣省,女    ,194476,67827,32743,36173,18263,4351,4871,2577,2648,2000,251,456,12331,285,3344,0,0,6356
不分平地山地,宜蘭縣,計    ,15614,1730,11631,244,234,39,84,15,14,9,1,6,343,7,18,0,0,1239
不分平地山地,宜蘭縣,男    ,7770,806,5944,92,81,18,38,5,4,1,0,1,138,5,9,0,0,628
不分平地山地,宜蘭縣,女    ,7844,924,5687,152,153,21,46,10,10,8,1,5,205,2,9,0,0,611
不分平地山地,桃園縣,計    ,61044,28753,18209,4365,3346,446,825,143,907,73,16,121,1425,39,182,0,0,2194
不分平地山地,桃園縣,男    ,29410,14266,8782,1947,1375,215,432,62,371,15,7,69,639,25,88,0,0,1117
