身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,新北市,計,55265,32635,7349,4388,3664,557,1324,207,515,99,42,287,2049,51,284,6,0,1808
不分平地山地,新北市,男,25679,15598,3191,2025,1648,254,602,84,212,44,20,132,832,29,120,4,0,884
不分平地山地,新北市,女,29586,17037,4158,2363,2016,303,722,123,303,55,22,155,1217,22,164,2,0,924
不分平地山地,板橋區,計,4249,2456,429,366,273,32,154,26,34,5,2,30,168,6,31,0,0,237
不分平地山地,板橋區,男,1858,1100,149,172,127,16,70,12,12,1,0,15,67,4,9,0,0,104
不分平地山地,板橋區,女,2391,1356,280,194,146,16,84,14,22,4,2,15,101,2,22,0,0,133
不分平地山地,三重區,計,2375,1212,301,260,224,46,68,17,23,11,8,1,129,6,5,0,0,64
不分平地山地,三重區,男,1064,552,127,113,102,22,33,3,9,4,4,1,61,4,4,0,0,25
不分平地山地,三重區,女,1311,660,174,147,122,24,35,14,14,7,4,0,68,2,1,0,0,39
不分平地山地,中和區,計,2969,1481,478,267,200,43,122,10,41,9,6,7,161,0,29,1,0,114
不分平地山地,中和區,男,1267,644,204,105,88,17,42,3,14,2,4,6,74,0,17,1,0,46
不分平地山地,中和區,女,1702,837,274,162,112,26,80,7,27,7,2,1,87,0,12,0,0,68
不分平地山地,永和區,計,1002,399,192,149,99,6,49,1,15,0,2,1,45,2,9,0,0,33
不分平地山地,永和區,男,404,164,75,71,41,1,20,0,5,0,0,0,11,1,1,0,0,14
不分平地山地,永和區,女,598,235,117,78,58,5,29,1,10,0,2,1,34,1,8,0,0,19
不分平地山地,新莊區,計,5317,3093,399,583,397,45,195,27,93,14,5,42,242,7,48,0,0,127
不分平地山地,新莊區,男,2436,1451,163,268,188,20,83,8,45,7,3,13,95,3,21,0,0,68
不分平地山地,新莊區,女,2881,1642,236,315,209,25,112,19,48,7,2,29,147,4,27,0,0,59
不分平地山地,新店區,計,3492,1870,543,275,182,20,68,15,43,10,0,10,198,5,20,0,0,233
不分平地山地,新店區,男,1542,853,222,116,70,9,32,4,14,5,0,2,81,0,8,0,0,126
不分平地山地,新店區,女,1950,1017,321,159,112,11,36,11,29,5,0,8,117,5,12,0,0,107
不分平地山地,樹林區,計,6315,4601,256,358,500,26,130,13,57,3,3,92,144,1,26,0,0,105
不分平地山地,樹林區,男,3078,2289,93,166,228,13,66,6,34,1,0,50,66,0,15,0,0,51
不分平地山地,樹林區,女,3237,2312,163,192,272,13,64,7,23,2,3,42,78,1,11,0,0,54
不分平地山地,鶯歌區,計,2855,1706,253,189,339,43,60,9,29,1,0,7,146,3,24,0,0,46
不分平地山地,鶯歌區,男,1358,823,117,95,153,23,33,4,10,1,0,4,54,2,10,0,0,29
不分平地山地,鶯歌區,女,1497,883,136,94,186,20,27,5,19,0,0,3,92,1,14,0,0,17
不分平地山地,三峽區,計,2955,2028,290,223,140,13,57,9,34,7,0,12,71,6,2,5,0,58
不分平地山地,三峽區,男,1455,1054,104,98,67,7,29,4,15,2,0,7,29,2,1,3,0,33
不分平地山地,三峽區,女,1500,974,186,125,73,6,28,5,19,5,0,5,42,4,1,2,0,25
不分平地山地,淡水區,計,1892,956,191,175,307,18,34,3,16,0,2,19,101,0,9,0,0,61
不分平地山地,淡水區,男,853,445,69,83,150,8,14,2,3,0,1,9,42,0,2,0,0,25
不分平地山地,淡水區,女,1039,511,122,92,157,10,20,1,13,0,1,10,59,0,7,0,0,36
不分平地山地,汐止區,計,4420,3389,257,187,149,8,61,21,18,5,7,21,97,6,18,0,0,176
不分平地山地,汐止區,男,2115,1658,106,81,67,3,34,10,9,3,4,9,38,4,7,0,0,82
不分平地山地,汐止區,女,2305,1731,151,106,82,5,27,11,9,2,3,12,59,2,11,0,0,94
不分平地山地,瑞芳區,計,1254,1067,25,24,20,3,17,0,1,0,0,3,23,0,1,0,0,70
不分平地山地,瑞芳區,男,648,565,12,9,7,1,4,0,1,0,0,1,9,0,1,0,0,38
不分平地山地,瑞芳區,女,606,502,13,15,13,2,13,0,0,0,0,2,14,0,0,0,0,32
不分平地山地,土城區,計,4172,2853,333,284,222,28,52,20,26,9,1,20,116,3,19,0,0,186
不分平地山地,土城區,男,2001,1404,139,144,89,9,26,11,10,5,0,6,46,3,6,0,0,103
不分平地山地,土城區,女,2171,1449,194,140,133,19,26,9,16,4,1,14,70,0,13,0,0,83
不分平地山地,蘆洲區,計,2103,1317,209,178,90,13,80,7,19,10,2,3,69,4,7,0,0,95
不分平地山地,蘆洲區,男,970,603,95,102,45,5,37,2,9,6,1,0,22,4,1,0,0,38
不分平地山地,蘆洲區,女,1133,714,114,76,45,8,43,5,10,4,1,3,47,0,6,0,0,57
不分平地山地,五股區,計,1831,991,161,227,103,102,47,4,12,5,0,6,122,0,2,0,0,49
不分平地山地,五股區,男,864,488,68,102,47,48,26,3,5,2,0,3,48,0,1,0,0,23
不分平地山地,五股區,女,967,503,93,125,56,54,21,1,7,3,0,3,74,0,1,0,0,26
不分平地山地,泰山區,計,1272,727,108,147,75,48,46,1,14,2,1,0,62,0,11,0,0,30
不分平地山地,泰山區,男,585,343,43,72,32,23,21,0,5,1,1,0,25,0,7,0,0,12
不分平地山地,泰山區,女,687,384,65,75,43,25,25,1,9,1,0,0,37,0,4,0,0,18
不分平地山地,林口區,計,1856,1193,156,190,144,34,19,7,22,0,0,4,24,0,9,0,0,54
不分平地山地,林口區,男,842,572,50,84,63,18,8,2,8,0,0,1,7,0,4,0,0,25
不分平地山地,林口區,女,1014,621,106,106,81,16,11,5,14,0,0,3,17,0,5,0,0,29
不分平地山地,深坑區,計,225,132,22,28,13,1,2,0,5,0,0,0,14,0,3,0,0,5
不分平地山地,深坑區,男,102,57,11,14,5,1,1,0,2,0,0,0,7,0,2,0,0,2
不分平地山地,深坑區,女,123,75,11,14,8,0,1,0,3,0,0,0,7,0,1,0,0,3
不分平地山地,石碇區,計,37,12,13,4,1,0,1,4,0,0,0,0,1,0,0,0,0,1
不分平地山地,石碇區,男,13,3,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1
不分平地山地,石碇區,女,24,9,9,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0
