日期,身分,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
2011-12-31,不分平地山地,新北市,50488,29619,6649,3784,3283,472,1095,179,436,79,46,244,1648,28,135,0,0,2791
2011-12-31,不分平地山地,臺北市,14340,6414,2245,1274,834,200,378,133,128,35,14,35,642,20,119,0,0,1869
2011-12-31,不分平地山地,臺中市,28817,8338,8212,5585,3546,393,546,250,163,55,120,27,469,9,352,0,0,752
2011-12-31,不分平地山地,臺南市,6113,1862,510,1924,830,157,274,95,20,15,15,10,164,4,33,0,0,200
2011-12-31,不分平地山地,高雄市,30401,8267,1155,7166,8731,2542,629,1115,45,33,12,26,402,6,55,0,0,217
2011-12-31,不分平地山地,宜蘭縣,15614,1730,11631,244,234,39,84,15,14,9,1,6,343,7,18,0,0,1239
2011-12-31,不分平地山地,桃園縣,61044,28753,18209,4365,3346,446,825,143,907,73,16,121,1425,39,182,0,0,2194
2011-12-31,不分平地山地,新竹縣,19971,1497,15294,430,308,58,105,25,1521,16,6,9,154,1,28,0,0,519
2011-12-31,不分平地山地,苗栗縣,10747,1143,6147,326,294,12,83,22,2398,8,14,12,86,3,17,0,0,182
2011-12-31,不分平地山地,彰化縣,5089,1864,412,1188,862,123,184,44,19,12,19,20,102,0,44,0,0,196
2011-12-31,不分平地山地,南投縣,28369,789,6441,426,13781,76,64,248,49,5,420,2,92,0,5937,0,0,39
2011-12-31,不分平地山地,雲林縣,1882,760,245,346,215,33,39,48,12,3,0,4,78,0,8,0,0,91
2011-12-31,不分平地山地,嘉義縣,5547,481,181,292,240,29,48,4015,27,3,19,2,46,1,15,0,0,148
2011-12-31,不分平地山地,屏東縣,57079,1887,393,46874,547,5607,168,75,26,14,3,7,110,4,9,0,0,1355
2011-12-31,不分平地山地,臺東縣,79781,37337,409,16385,8164,2011,7461,43,48,3861,2,105,166,5,17,0,0,3767
2011-12-31,不分平地山地,花蓮縣,90920,51689,2716,692,7731,59,389,34,44,15,0,629,21378,490,692,0,0,4362
2011-12-31,不分平地山地,澎湖縣,323,130,50,66,26,5,14,7,1,1,0,0,21,0,2,0,0,0
2011-12-31,不分平地山地,基隆市,8718,7031,536,211,241,9,93,26,16,8,4,10,152,4,20,0,0,357
2011-12-31,不分平地山地,新竹市,3170,1111,981,261,128,26,41,14,213,4,2,2,126,1,18,0,0,242
2011-12-31,不分平地山地,嘉義市,894,165,64,77,103,8,39,352,5,2,1,4,20,4,9,0,0,41
2011-12-31,不分平地山地,金門縣,548,267,64,74,59,6,2,7,7,0,0,0,24,0,1,0,0,37
2011-12-31,不分平地山地,連江縣,129,52,20,18,13,0,3,1,1,1,0,0,16,0,1,0,0,3
2013-12-31,不分平地山地,新北市,52892,31174,6969,4114,3482,508,1179,184,474,68,43,273,1840,38,201,0,0,2345
2013-12-31,不分平地山地,臺北市,15235,7346,2470,1416,941,221,431,157,143,33,19,38,752,23,195,0,0,1050
2013-12-31,不分平地山地,臺中市,30460,8871,8441,5960,3865,396,591,280,184,60,140,39,543,11,510,0,0,569
2013-12-31,不分平地山地,臺南市,6749,2059,582,2138,925,184,278,95,21,12,16,11,207,4,44,0,0,173
2013-12-31,不分平地山地,高雄市,31878,8830,1190,7811,8862,2537,678,1146,48,31,13,23,468,5,79,0,0,157
2013-12-31,不分平地山地,宜蘭縣,16132,1866,12064,273,272,49,94,21,16,4,2,7,406,4,30,0,0,1024
2013-12-31,不分平地山地,桃園縣,64212,30503,18640,4824,3695,471,895,176,947,66,17,124,1684,72,303,0,0,1795
2013-12-31,不分平地山地,新竹縣,20660,1645,15769,477,355,59,105,25,1554,17,9,10,201,7,36,0,0,391
2013-12-31,不分平地山地,苗栗縣,10976,1257,6167,361,318,18,87,22,2403,15,16,14,98,3,33,0,0,164
2013-12-31,不分平地山地,彰化縣,5221,1932,415,1242,858,128,183,44,24,11,23,23,118,0,60,0,0,160
2013-12-31,不分平地山地,南投縣,28631,864,6145,439,13869,70,66,240,54,6,409,3,107,1,6321,0,0,37
2013-12-31,不分平地山地,雲林縣,2100,877,265,366,266,34,42,34,16,3,2,3,91,1,14,0,0,86
2013-12-31,不分平地山地,嘉義縣,5754,523,192,304,290,26,54,4099,32,1,20,2,46,1,25,0,0,139
2013-12-31,不分平地山地,屏東縣,57634,1946,386,47290,598,5825,179,77,28,14,4,12,124,4,14,0,0,1133
2013-12-31,不分平地山地,臺東縣,79286,37041,433,16437,8218,2039,7608,46,49,4015,4,105,167,4,26,0,0,3094
2013-12-31,不分平地山地,花蓮縣,91122,51991,2684,769,7897,62,427,35,56,15,0,636,21845,584,783,0,0,3338
2013-12-31,不分平地山地,澎湖縣,388,141,56,82,32,6,19,9,1,1,0,0,28,0,12,0,0,1
2013-12-31,不分平地山地,基隆市,8912,7153,589,241,247,10,102,24,15,8,3,10,189,7,24,0,0,290
2013-12-31,不分平地山地,新竹市,3489,1233,1086,302,161,32,56,20,236,3,0,2,129,0,27,0,0,202
2013-12-31,不分平地山地,嘉義市,904,166,63,86,105,11,46,340,5,1,1,4,22,6,9,0,0,39
2013-12-31,不分平地山地,金門縣,797,395,104,107,69,12,6,12,16,0,1,1,33,0,2,0,0,39
2013-12-31,不分平地山地,連江縣,169,66,32,26,11,1,3,2,2,2,0,0,20,0,1,0,0,3
2014-12-31,不分平地山地,新北市,53418,31555,7036,4169,3523,499,1222,186,481,79,47,278,1891,41,214,3,0,2194
2014-12-31,不分平地山地,臺北市,15581,7519,2541,1457,967,232,463,154,149,39,18,41,785,25,210,1,0,980
2014-12-31,不分平地山地,臺中市,30948,9126,8469,6020,3956,381,612,268,187,59,145,41,555,13,566,8,5,537
2014-12-31,不分平地山地,臺南市,6957,2142,583,2188,963,188,282,97,24,13,16,14,217,4,55,2,3,166
2014-12-31,不分平地山地,高雄市,32252,8922,1224,7920,8905,2560,705,853,50,31,14,22,482,5,104,193,114,148
2014-12-31,不分平地山地,宜蘭縣,16523,1938,12392,262,285,50,101,20,18,3,2,8,443,4,33,0,0,964
2014-12-31,不分平地山地,桃園縣,65440,31036,18881,4972,3804,467,942,178,976,90,18,137,1793,90,347,0,0,1709
2014-12-31,不分平地山地,新竹縣,21038,1754,15983,495,383,61,108,26,1572,19,9,9,204,7,43,0,0,365
2014-12-31,不分平地山地,苗栗縣,11189,1319,6245,399,336,20,92,24,2414,16,11,15,103,3,35,0,0,157
2014-12-31,不分平地山地,彰化縣,5250,1946,411,1243,870,137,184,44,26,10,23,23,120,0,68,0,0,145
2014-12-31,不分平地山地,南投縣,28747,882,6062,451,13919,70,64,241,51,6,422,4,109,1,6433,0,0,32
2014-12-31,不分平地山地,雲林縣,2196,909,290,368,292,39,45,37,20,5,0,4,94,1,14,0,0,78
2014-12-31,不分平地山地,嘉義縣,5783,534,183,318,298,31,61,4095,32,0,20,1,49,1,24,0,0,136
2014-12-31,不分平地山地,屏東縣,58333,2040,436,47773,617,5921,179,73,28,14,4,12,125,4,18,4,1,1084
2014-12-31,不分平地山地,臺東縣,79622,37200,455,16610,8274,2057,7660,47,50,4008,3,105,182,4,28,2,1,2936
2014-12-31,不分平地山地,花蓮縣,91675,52395,2687,812,7970,70,425,38,57,17,0,643,22133,624,808,0,0,2996
2014-12-31,不分平地山地,澎湖縣,414,148,60,93,37,7,22,7,1,1,0,0,24,0,13,0,0,1
2014-12-31,不分平地山地,基隆市,8971,7206,610,241,241,10,102,25,15,8,3,11,190,7,23,0,0,279
2014-12-31,不分平地山地,新竹市,3688,1343,1128,312,165,36,60,25,237,5,3,3,145,1,31,0,0,194
2014-12-31,不分平地山地,嘉義市,933,179,64,92,106,11,45,345,5,1,1,6,28,6,9,0,0,35
2014-12-31,不分平地山地,金門縣,888,446,110,110,84,14,10,13,16,0,1,1,38,1,4,0,1,39
